City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Port Hawkesbury,CA,2022-03-02 04:03:26,45.6169,-61.3485,20.17,79,20,1.99
67,Kavaratti,IN,2022-03-02 04:03:27,10.5669,72.642,82.2,68,75,8.32
68,Cidreira,BR,2022-03-02 04:02:59,-30.1811,-50.2056,73.42,75,98,9.42
69,Turtas,RU,2022-03-02 04:03:27,58.9417,69.1325,8.56,95,77,6.02
70,Dingle,PH,2022-03-02 04:03:28,10.9995,122.6711,87.03,60,94,15.08
71,Sao Francisco,BR,2022-03-02 04:03:28,-15.9486,-44.8644,69.08,70,1,4.41
72,Szubin,PL,2022-03-02 04:03:29,53.0097,17.74,24.4,86,0,1.14
73,Assiniboia,CA,2022-03-02 04:03:29,49.6334,-105.9845,25.63,98,100,5.21
74,Manicore,BR,2022-03-02 04:03:29,-5.8092,-61.3003,73.74,99,100,2.71
75,Saint-Philippe,RE,2022-03-02 04:03:30,-21.3585,55.7679,80.19,85,41,10.02
76,Tuktoyaktuk,CA,2022-03-02 04:03:03,69.4541,-133.0374,-4.94,85,3,15.93
77,Santa Isabel Do Rio Negro,BR,2022-03-02 04:03:30,-0.4139,-65.0192,73.99,98,100,2.15
78,Nargana,PA,2022-03-02 04:03:31,9.4428,-78.5906,78.44,86,57,14.56
79,Jinxiang,CN,2022-03-02 04:03:31,27.4327,120.6062,54.54,86,97,8.72
80,Bethel,US,2022-03-02 04:03:32,41.3712,-73.414,43.56,90,100,10.11
81,Paamiut,GL,2022-03-02 04:03:32,61.994,-49.6678,18.1,86,100,16.84
82,Puerto Ayora,EC,2022-03-02 04:03:33,-0.7393,-90.3518,77.56,92,98,3.0
83,Uarini,BR,2022-03-02 04:03:33,-2.99,-65.1083,73.22,99,100,6.4
84,Dicabisagan,PH,2022-03-02 04:03:33,17.0818,122.4157,81.45,65,68,3.18
85,East Brainerd,US,2022-03-02 04:03:34,34.9959,-85.1502,47.26,69,0,0.0
86,Tinskoy,RU,2022-03-02 04:03:34,56.1525,96.9161,24.48,80,100,14.52
87,Manzil Salim,TN,2022-03-02 04:03:35,35.8567,8.4765,41.41,76,100,3.22
88,Jiayuguan,CN,2022-03-02 04:03:35,39.8167,98.3,40.96,22,11,4.5
89,Jalu,LY,2022-03-02 04:03:36,29.0331,21.5482,59.74,70,100,22.32
90,Ampanihy,MG,2022-03-02 04:03:36,-24.7,44.75,72.86,90,94,7.58
91,Orodara,BF,2022-03-02 04:03:37,10.9492,-4.9342,76.62,57,58,1.52
92,Catamarca,AR,2022-03-02 04:00:55,-28.4696,-65.7852,71.78,79,2,7.7
93,Ban Tak,TH,2022-03-02 04:03:37,17.0432,99.0813,95.05,30,24,4.54
94,Barrow,US,2022-03-02 04:03:37,71.2906,-156.7887,6.82,78,100,3.44
95,Caninde De Sao Francisco,BR,2022-03-02 04:03:38,-9.66,-37.7894,73.72,81,95,5.82
96,Jiangyou,CN,2022-03-02 04:03:38,31.7667,104.7167,56.97,56,88,5.61
97,Marfino,RU,2022-03-02 04:03:39,55.7028,37.3822,19.54,85,0,2.24
98,Cherskiy,RU,2022-03-02 04:03:39,68.75,161.3,-7.74,94,26,4.0
99,Grindavik,IS,2022-03-02 04:03:40,63.8424,-22.4338,39.67,87,100,36.82
100,Butaritari,KI,2022-03-02 04:03:40,3.0707,172.7902,81.82,77,72,11.56
101,Atuona,PF,2022-03-02 04:03:41,-9.8,-139.0333,78.98,74,34,16.58
102,Saint George,US,2022-03-02 04:00:39,37.1041,-113.5841,59.79,28,0,0.0
103,Cockburn Town,TC,2022-03-02 04:03:41,21.4612,-71.1419,77.43,76,0,6.4
104,Castro,BR,2022-03-02 04:01:36,-24.7911,-50.0119,65.43,98,100,4.63
105,Diego De Almagro,CL,2022-03-02 04:03:42,-26.3667,-70.05,62.55,55,0,0.27
106,Esperance,AU,2022-03-02 04:03:42,-33.8667,121.9,69.76,60,62,19.6
107,Ayan,RU,2022-03-02 04:03:42,56.45,138.1667,8.47,60,99,2.39
108,Kalengwa,ZM,2022-03-02 04:03:43,-13.4659,25.0027,61.5,95,87,3.24
109,Vila Velha,BR,2022-03-02 04:00:22,-20.3297,-40.2925,76.95,87,13,8.05
110,Pisco,PE,2022-03-02 04:03:43,-13.7,-76.2167,70.02,87,98,1.07
111,Hasaki,JP,2022-03-02 04:03:43,35.7333,140.8333,59.29,59,38,13.24
112,Lompoc,US,2022-03-02 04:03:44,34.6391,-120.4579,64.13,78,0,3.44
113,Paredon,MX,2022-03-02 04:03:44,16.0333,-93.8667,75.88,64,20,13.6
114,Moussoro,TD,2022-03-02 04:03:44,13.6408,16.4901,70.54,7,95,10.31
115,Yulara,AU,2022-03-02 04:03:45,-25.2406,130.9889,103.46,15,36,11.16
116,Cape Town,ZA,2022-03-02 04:03:09,-33.9258,18.4232,69.28,81,87,12.82
117,Maumere,ID,2022-03-02 04:03:45,-8.6199,122.2111,85.15,69,88,11.5
118,Santa Ines,BR,2022-03-02 04:03:46,-3.6667,-45.38,72.73,98,95,2.98
119,Cornwall,CA,2022-03-02 04:00:01,45.0181,-74.7281,16.21,98,100,4.68
120,Russell,US,2022-03-02 03:59:25,32.3502,-85.1999,54.37,59,0,4.7
121,Ossora,RU,2022-03-02 04:03:46,59.2353,163.0719,27.9,95,100,33.02
122,Amboasary,MG,2022-03-02 04:03:47,-25.0333,46.3833,75.88,88,88,1.74
123,Chokurdakh,RU,2022-03-02 04:03:47,70.6333,147.9167,-5.58,96,100,6.4
124,Nome,US,2022-03-02 04:03:47,64.5011,-165.4064,4.51,100,88,3.31
125,Kungurtug,RU,2022-03-02 04:03:48,50.5994,97.5228,19.44,64,15,1.05
126,Talnakh,RU,2022-03-02 04:03:48,69.4865,88.3972,-12.8,98,100,8.59
127,Port Macquarie,AU,2022-03-02 04:01:25,-31.4333,152.9167,76.89,88,85,10.47
128,Ponta Do Sol,PT,2022-03-02 04:03:48,32.6667,-17.1,65.07,73,15,2.73
129,Ostrovnoy,RU,2022-03-02 04:03:49,68.0531,39.5131,28.63,86,75,26.04
130,Bradford,GB,2022-03-02 04:03:50,53.7939,-1.7521,43.23,82,99,5.01
131,Buraydah,SA,2022-03-02 04:03:50,26.326,43.975,64.92,31,2,11.9
132,Iqaluit,CA,2022-03-02 04:03:51,63.7506,-68.5145,-14.31,68,100,18.99
133,Sao Filipe,CV,2022-03-02 04:03:51,14.8961,-24.4956,69.51,66,6,16.53
134,Havre-Saint-Pierre,CA,2022-03-02 04:03:52,50.2334,-63.5986,-3.64,84,75,11.5
135,Kattivakkam,IN,2022-03-02 04:03:53,13.2167,80.3167,79.07,84,100,7.7
136,Green River,US,2022-03-02 04:03:53,41.5286,-109.4662,41.4,56,37,1.01
137,Vaini,TO,2022-03-02 04:03:54,-21.2,-175.2,81.23,81,100,20.47
138,Codrington,AU,2022-03-02 04:03:54,-38.2667,141.9667,80.17,48,61,6.6
139,Scarborough,GB,2022-03-02 04:03:55,54.2797,-0.4044,42.66,89,11,8.01
140,Hastings,GB,2022-03-02 04:03:56,50.8552,0.5729,45.91,94,100,14.0
141,Yellowknife,CA,2022-03-02 04:01:25,62.456,-114.3525,-24.59,98,12,5.08
142,Bulancak,TR,2022-03-02 04:03:27,40.9372,38.2291,44.42,81,75,4.61
143,Hobart,AU,2022-03-02 04:02:12,-42.8794,147.3294,73.26,65,40,13.8
144,Taua,BR,2022-03-02 04:03:56,-5.9667,-40.3,73.6,63,65,6.13
145,Thoen,TH,2022-03-02 04:03:57,17.6129,99.2161,95.94,30,78,3.83
146,Doka,SD,2022-03-02 04:03:57,13.5167,35.7667,77.68,43,19,5.61
147,Gao,ML,2022-03-02 04:02:58,16.6362,1.637,76.6,10,27,7.94
148,Laguna,US,2022-03-02 04:03:58,38.421,-121.4238,65.25,63,0,0.0
149,Moree,AU,2022-03-02 04:03:58,-29.4667,149.85,91.42,32,2,3.89
150,Tasiilaq,GL,2022-03-02 04:03:59,65.6145,-37.6368,26.42,62,100,40.87
151,Ilulissat,GL,2022-03-02 04:03:59,69.2167,-51.1,26.62,24,100,13.8
152,Thompson,CA,2022-03-02 04:04:00,55.7435,-97.8558,-18.56,98,34,5.75
153,Cogon,PH,2022-03-02 04:04:00,11.4641,122.803,84.38,68,100,10.74
154,Faanui,PF,2022-03-02 04:04:01,-16.4833,-151.75,82.36,68,63,16.22
155,Marzuq,YE,2022-03-02 04:04:01,14.4,46.4667,66.76,68,4,2.42
156,Fare,PF,2022-03-02 04:04:02,-16.7,-151.0167,81.93,72,65,16.24
157,Serebryansk,KZ,2022-03-02 04:04:02,49.6925,83.2892,13.55,89,100,5.61
158,Sayaxche,GT,2022-03-02 04:04:03,16.5167,-90.1667,67.33,96,84,1.43
159,Humaita,BR,2022-03-02 04:04:03,-7.5061,-63.0208,73.89,99,100,0.96
160,Bilibino,RU,2022-03-02 04:04:04,68.0546,166.4372,-0.76,96,24,2.42
161,Airai,TL,2022-03-02 04:04:04,-8.9266,125.4092,74.98,57,76,4.85
162,Takoradi,GH,2022-03-02 04:04:04,4.8845,-1.7554,79.54,85,34,5.86
163,Sosnovo-Ozerskoye,RU,2022-03-02 04:04:05,52.5249,111.5418,12.94,76,56,6.13
164,Grande Prairie,CA,2022-03-02 04:04:06,55.1667,-118.8027,17.37,95,100,6.4
165,Oyem,GA,2022-03-02 04:04:06,1.5995,11.5793,67.89,97,100,2.17
166,Khatanga,RU,2022-03-02 04:04:06,71.9667,102.5,4.55,94,100,12.21
167,Cabo San Lucas,MX,2022-03-02 04:04:07,22.8909,-109.9124,69.51,73,93,1.01
168,Keetmanshoop,NA,2022-03-02 04:04:07,-26.5833,18.1333,63.91,49,1,3.67
169,Husavik,IS,2022-03-02 04:04:08,66.0449,-17.3389,16.23,91,82,14.25
170,Taicheng,CN,2022-03-02 04:04:08,38.731,113.228,40.33,19,0,10.18
171,Norman Wells,CA,2022-03-02 04:04:09,65.282,-126.8329,1.67,84,8,16.13
172,Srednekolymsk,RU,2022-03-02 04:04:09,67.45,153.6833,-3.33,91,80,4.99
173,Broome,US,2022-03-02 04:04:10,42.2506,-75.833,39.7,74,100,8.99
174,Samarkand,UZ,2022-03-02 04:00:14,39.6542,66.9597,40.42,70,0,4.61
175,Lucapa,AO,2022-03-02 04:04:11,-8.4192,20.7447,63.59,97,99,4.18
176,Porosozero,RU,2022-03-02 04:04:11,62.7191,32.727,27.34,95,100,8.57
177,Kehtna,EE,2022-03-02 04:04:11,58.9303,24.8781,31.75,95,91,6.62
178,Ngunguru,NZ,2022-03-02 04:04:12,-35.6167,174.5,71.17,76,77,16.98
179,Saint-Francois,FR,2022-03-02 04:04:12,46.4154,3.9054,33.67,93,100,0.0
180,Dholka,IN,2022-03-02 04:04:13,22.7167,72.4667,79.18,21,0,5.79
181,Kahului,US,2022-03-02 04:04:14,20.8947,-156.47,83.46,70,40,11.5
182,Fairbanks,US,2022-03-02 04:02:55,64.8378,-147.7164,25.09,98,95,1.97
183,Meulaboh,ID,2022-03-02 04:04:14,4.1363,96.1285,84.31,67,75,4.29
184,Mahebourg,MU,2022-03-02 04:04:15,-20.4081,57.7,82.26,83,98,12.48
185,Alofi,NU,2022-03-02 04:04:16,-19.0595,-169.9187,81.66,76,50,9.48
186,Rincon,US,2022-03-02 04:04:16,32.296,-81.2354,57.85,89,0,0.0
187,Tutoia,BR,2022-03-02 04:02:10,-2.7619,-42.2744,79.21,81,66,10.13
188,Souillac,MU,2022-03-02 04:04:16,-20.5167,57.5167,82.36,84,88,11.77
189,Puerto Del Rosario,ES,2022-03-02 04:04:17,28.5004,-13.8627,62.35,77,81,18.41
190,Lebu,CL,2022-03-02 04:03:05,-37.6167,-73.65,58.95,96,68,7.81
191,Ust-Nera,RU,2022-03-02 04:04:17,64.5667,143.2,-3.17,92,99,2.8
192,Lagoa,PT,2022-03-02 04:00:16,39.05,-27.9833,58.3,85,100,18.12
193,Wuxue,CN,2022-03-02 04:04:18,29.8506,115.5525,61.23,49,0,3.2
194,Port Elizabeth,ZA,2022-03-02 04:04:18,-33.918,25.5701,68.29,94,75,12.66
195,Presidente Medici,BR,2022-03-02 04:04:19,-11.1753,-61.9014,74.07,95,100,2.98
196,Mandali,IQ,2022-03-02 04:04:19,33.7499,45.5541,64.62,30,100,4.54
197,Tual,ID,2022-03-02 04:04:20,-5.6667,132.75,83.53,72,90,5.37
198,Port Blair,IN,2022-03-02 04:01:21,11.6667,92.75,84.24,79,40,6.91
199,Sulina,RO,2022-03-02 04:04:20,45.1559,29.6536,33.42,98,100,13.44
200,Llallagua,BO,2022-03-02 04:04:21,-18.4167,-66.6333,45.97,81,99,3.27
201,Sakakah,SA,2022-03-02 04:04:22,29.9697,40.2064,60.15,28,88,6.15
202,Antalaha,MG,2022-03-02 04:04:22,-14.9003,50.2788,76.73,86,65,2.8
203,Caravelas,BR,2022-03-02 04:04:23,-17.7125,-39.2481,74.97,88,100,3.13
204,Manaure,CO,2022-03-02 04:04:24,11.7751,-72.4445,79.97,75,100,15.17
205,Sangar,RU,2022-03-02 04:04:24,63.9242,127.4739,-4.27,92,100,1.86
206,Touba,CI,2022-03-02 04:04:24,8.2833,-7.6833,73.4,77,59,4.03
207,Manavalakurichi,IN,2022-03-02 04:04:25,8.1333,77.3,82.49,45,100,6.98
208,Pimentel,PE,2022-03-02 04:04:25,-6.8367,-79.9342,72.64,75,100,9.62
209,Vostok,RU,2022-03-02 04:04:26,46.4856,135.8833,21.33,80,100,9.17
210,Quime,BO,2022-03-02 04:04:26,-16.9833,-67.2167,50.74,91,99,1.9
211,Diu,IN,2022-03-02 04:00:18,20.7141,70.9822,82.26,31,0,8.95
212,Kismayo,SO,2022-03-02 04:04:27,-0.3582,42.5454,78.1,80,5,16.84
